Time Period,USD,AUD,CAD,EUR,BRL,CHF,DKK,GBP,CZK,HUF,JPY,KRW,ZAR,TWD,TRY,SGD,SEK,PLN,NZD,NOK,MXN
20000424,0.060984405,0.055777037,0.053164674,0.03866904,0.18863427,0.029775823,0.037873426,0.056874658,0.052608319,0.1134738,0.000304163,,0.10238103,0.042924192,0.30042679,0.023726849,0.038750905,0.19489553,0.059906591,0.058764799,0.13370431
20000425,0.061287047,0.056767361,0.05285403,0.038466904,0.18763594,0.02835582,0.043014152,0.060350076,0.052608319,0.10901019,0.000101388,,0.10392984,0.042924192,0.33006545,0.02497435,0.039067238,0.17562629,0.057464083,0.059672868,0.12878955
20000426,0.061287047,0.057464083,0.053164674,0.038567973,0.18863427,0.029063869,0.043014152,0.06025057,0.052406415,0.10850776,0.000101388,,0.10331014,0.042924192,0.30042679,0.025473315,0.03969887,0.17592199,0.057464083,0.060681755,0.12878955
20000427,0.062805538,0.057767229,0.05316854,0.038974316,0.17669143,0.029267334,0.042511458,0.060454578,0.052107266,0.10902642,0.000304163,,0.10549465,0.042926713,0.32033321,0.025287081,0.039701027,0.17655585,0.060952173,0.06028318,0.1288122
20000428,0.062306416,0.058568232,0.05441726,0.03927965,0.17073122,0.029774304,0.043019216,0.060758186,0.052110981,0.10743559,0.000811086,,0.10426987,0.042929235,0.32047268,0.024851297,0.040018552,0.17699298,0.061753498,0.061700969,0.12883486
20000501,0.062492199,0.059847641,0.054405111,0.038970159,0.17061206,0.03038646,0.042506513,0.060444584,0.052604534,0.10103604,0.000304163,,0.10422533,0.042921671,0.32005477,0.024848761,0.040011979,0.19624729,0.062334703,0.061181048,0.12876691
20000502,0.063198144,0.059449662,0.054405111,0.039677515,0.19905781,0.029669531,0.041496235,0.060643558,0.05220078,0.10748705,0.000202776,,0.10236671,0.042921671,0.32005477,0.024724023,0.039380431,0.17696345,0.061737856,0.061382773,0.12946889
20000503,0.063187223,0.058843197,0.05424178,0.040077304,0.19944783,0.0271389,0.042703568,0.060633501,0.052697873,0.10845954,0.000608317,,0.10326643,0.042916631,0.31977698,0.025595362,0.040166203,0.19654247,0.061727434,0.060666652,0.12942316
20000504,0.064100105,0.058449984,0.05393528,0.040988764,0.18654264,0.027847922,0.040887739,0.060439588,0.052499826,0.10847561,0.000811082,,0.10250701,0.042919151,0.3199158,0.026665207,0.040009789,0.17701924,0.06143426,0.060873386,0.12944602
20000505,0.064408235,0.058554161,0.05518348,0.041193135,0.18259759,0.027848983,0.042506513,0.059847641,0.051494175,0.10849168,0.000709701,,0.10267601,0.042921671,0.31018365,0.02798751,0.040011979,0.17745598,0.061439421,0.061080184,0.12946889
20000508,0.064811571,0.058753167,0.055494017,0.041496235,0.19955624,0.02703976,0.040991063,0.060146116,0.052503597,0.10698469,0.000709701,,0.10221107,0.042921671,0.32991764,0.028091462,0.03874885,0.17814549,0.061339941,0.061080184,0.12946889
20000509,0.064912403,0.058753167,0.055494017,0.041395203,0.19955624,0.02703976,0.042506513,0.059549158,0.052503597,0.10949622,0.000202776,,0.10190176,0.042921671,0.32005477,0.029961846,0.03874885,0.17716047,0.061837332,0.061281911,0.14650419
20000510,0.065304058,0.058743727,0.055797024,0.041289504,0.19845203,0.029161524,0.041491523,0.060633501,0.051991502,0.10845954,0.000101388,,0.10868328,0.042916631,0.32962255,0.02987033,0.040007598,0.17668131,0.062324079,0.060565817,0.14644566
20000511,0.065410699,0.059046901,0.056266989,0.041190813,0.18504638,0.028252481,0.041392858,0.060041695,0.052398902,0.10897774,0.0007097,,0.10668749,0.042919151,0.33961572,0.030687881,0.03843153,0.17564072,0.062428845,0.061478465,0.14647491
20000512,0.065517376,0.058852669,0.056738074,0.04068795,0.18259759,0.02805128,0.043011621,0.060544071,0.05220078,0.10899396,0.000101388,,0.10840542,0.042921671,0.33977225,0.031030474,0.039380431,0.17627387,0.06293152,0.061685354,0.14650419
20000515,0.06450907,0.059151169,0.057049565,0.0410921,0.19855936,0.027242072,0.041698298,0.060444584,0.052705471,0.10899396,0.000709701,,0.10530865,0.042921671,0.33977225,0.029071181,0.03906515,0.1764709,0.061439421,0.06188707,0.14650419
20000516,0.06894497,0.05895217,0.056893323,0.0410921,0.19806088,0.027848983,0.043011621,0.060444584,0.05230172,0.10860667,0.000101388,,0.10329556,0.042921671,0.33977225,0.027467935,0.03906515,0.17637239,0.063329381,0.060071498,0.14089529
20000517,0.066211149,0.058843197,0.05781762,0.041996559,0.19745612,0.027947994,0.043511524,0.060434593,0.051789673,0.10845954,0.000101388,,0.10249266,0.042916631,0.3591068,0.026664234,0.039218581,0.17638606,0.064312662,0.060263308,0.14084115
20000518,0.066015537,0.059146385,0.05766698,0.042605053,0.18305106,0.026533005,0.042403029,0.059842743,0.052197053,0.10646685,0.000101388,,0.10250701,0.042919151,0.35928167,0.026665207,0.039378309,0.17514835,0.06402,0.059965707,0.14086821
20000519,0.066223139,0.059350165,0.057826765,0.042304465,0.18259759,0.027747834,0.04361772,0.059847641,0.05230172,0.10477411,0.000101388,,0.10081714,0.042921671,0.43895577,0.027378843,0.03874885,0.17528869,0.063926147,0.060071498,0.14089529
20000522,0.066122318,0.059549158,0.057360053,0.042001385,0.20154978,0.026635129,0.044021769,0.059847641,0.05230172,0.10798937,0.000202776,,0.097718375,0.042921671,0.34961862,0.026933471,0.03906515,0.17607684,0.063528306,0.060071498,0.14089529
20000523,0.066122318,0.058852669,0.057826765,0.042001385,0.19457095,0.026331645,0.043516705,0.060046625,0.051595121,0.10831697,0.000101388,,0.099268355,0.042921671,0.35945677,0.027557027,0.038433551,0.17617536,0.063130452,0.05986975,0.14089529
20000524,0.06550564,0.059042134,0.057506247,0.041996559,0.20044356,0.026127449,0.043309541,0.059837846,0.052395147,0.10795753,0.000101388,,0.099550652,0.042916631,0.3591068,0.027822079,0.039060974,0.17559869,0.063020123,0.05996079,0.15464715
20000525,0.066015537,0.059046901,0.057977402,0.041594899,0.1880387,0.026634158,0.042807073,0.059942219,0.05159148,0.10907817,0.000101388,,0.10064863,0.042919151,0.36910195,0.028194325,0.038746795,0.17554225,0.063125003,0.059965707,0.15467977
20000526,0.065618202,0.05895217,0.058137232,0.041799328,0.18060086,0.025926989,0.042506513,0.059847641,0.051595121,0.10849168,0.000101388,,0.10081714,0.042921671,0.35945677,0.027467935,0.039380431,0.17587981,0.063030986,0.059365366,0.15471241
20000530,0.066828045,0.060345095,0.057826765,0.042405489,0.18808689,0.026635129,0.040890026,0.060245606,0.051797011,0.10899396,0.000101388,,0.099423044,0.042921671,0.3692867,0.026532583,0.03906515,0.17627387,0.063926147,0.060273242,0.15561296
20000531,0.066329974,0.059354983,0.058298105,0.042306914,0.18813511,0.027344249,0.043519296,0.060051556,0.050488155,0.10901019,0.000304163,,0.098351406,0.042924192,0.37930335,0.024350616,0.039067238,0.17621768,0.064130686,0.060379098,0.155646
20000601,0.065914734,0.058549472,0.05813261,0.042706063,0.17506629,0.02703876,0.043514115,0.059842743,0.051389617,0.10847561,0.000101388,,0.098944604,0.042919151,0.37891378,0.023903536,0.039063062,0.17613307,0.063522788,0.061680151,0.15557994
20000602,0.066122318,0.058852669,0.057826765,0.042607537,0.17261049,0.02703976,0.044526811,0.059648653,0.051897955,0.10849168,0.000506934,,0.098803284,0.042921671,0.3692867,0.023726079,0.03906515,0.17617536,0.064323974,0.060474983,0.15561296
20000605,0.067035817,0.059155955,0.058453359,0.042508986,0.18613828,0.02754657,0.046145712,0.059554008,0.052103552,0.10901019,0.000101388,,0.098351406,0.042924192,0.3694717,0.023227813,0.039067238,0.17651336,0.064130686,0.060076433,0.155646
20000606,0.066430811,0.058857406,0.058141855,0.042508986,0.18513976,0.027344249,0.044327484,0.059354983,0.052103552,0.1147654,0.000101388,,0.099126094,0.042924192,0.37930335,0.023518954,0.038435572,0.17661192,0.063135902,0.060984405,0.14813618
20000607,0.066430811,0.059653519,0.057831338,0.042003799,0.18513976,0.026737267,0.046044706,0.059255469,0.052204508,0.10850776,0.000304163,,0.10083103,0.042924192,0.3694717,0.023518954,0.038750905,0.17671048,0.063533825,0.060782639,0.14813618
