,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2016-03-01,1.47921958,-2.73762912,-0.8395443,-0.73245806,-1.96925847,1.03104754,0.61859338,-2.91443245,-1.24983463,-0.20951791,-1.21532138,11.47801697,0.53414795,1.40520265,-3.48971676,-0.34347678,0.67947962,-0.52451783
2016-04-01,1.50583815,-17.68536321,0.30570588,-0.23083066,-2.34658639,-0.76206227,15.7315791,-1.93337366,-0.67981408,0.04834908,0.09880887,9.68375237,-0.73303555,0.62279525,-3.60616027,-0.53288868,2.66471413,-1.15142804
2016-05-01,1.36506787,-7.82932144,-0.51167294,-0.53544057,-1.68988969,0.68306387,6.25789061,-2.12748137,-1.37371806,-0.20467085,-0.88742227,9.29638594,0.41617354,1.33651594,-2.76495703,-0.3217581,0.4704295,-0.57919495
2016-06-01,0.03053084,-6.52599382,-0.12297795,0.28939801,-0.27571045,-0.53518622,6.55906499,-0.22199109,-0.16064303,-0.12373528,0.07605589,1.32619723,0.61616939,-0.22535755,0.29061495,-0.03386169,0.13757404,-0.10014828
2016-07-01,-1.31850673,12.57543926,1.77063378,0.41182398,0.19612032,-0.52330936,-8.61491569,0.74246014,0.80070999,-0.28772366,0.73380857,-2.35156487,-0.92940672,-0.32869251,0.45982774,-0.58516729,-2.02544521,0.27390827
2016-08-01,1.79481275,24.27684385,-3.729e-05,0.14220637,-2.92206614,0.43251905,-27.97796659,-5.36403937,-1.01860804,0.11820623,-2.41763135,17.98192544,1.32302045,3.9358276,-5.66394295,-1.77498824,-2.0763061,0.21022432
2016-09-01,1.12791451,-8.96744376,-0.25238728,-0.66551759,-0.79416689,0.65446079,8.74268425,-0.8447998,-0.75613285,-0.18024201,-0.33172534,3.42398315,-0.20697367,0.37512969,-0.23098226,-0.31063436,0.19925221,0.0175812
2016-10-01,0.64282011,7.43183487,-0.16806091,-1.23175672,-1.07535872,1.84900166,-8.33537825,-2.14925163,-0.48205106,0.04525323,-1.0557699,8.55388125,-0.5756655,1.35395049,-2.2662462,-1.5624839,0.06353652,-0.03825532
2016-11-01,-1.08974599,-7.12198719,-0.38422684,0.55451863,0.99461071,-1.02924485,9.81824206,0.36396905,0.08792156,-0.77625296,0.45139458,1.4669578,0.57673268,-1.65553758,0.03473555,0.12565015,-0.68022181,-0.73751555
2016-12-01,0.30054587,-7.35484377,0.04150166,-0.1767263,-0.72667582,0.54676126,7.75262994,-0.70322442,0.04548769,0.55889477,-0.24074156,3.03170098,-0.41976477,0.33328475,-1.1430164,-0.64718497,0.26528519,-0.46391409
