,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2016-05-01,2.996841,-0.47418798,0.11081778,-1.22345162,-3.30280488,1.90938275,-0.49038301,-2.67637115,-1.01578474,-0.3168651,-1.67432387,6.08002558,0.47082825,2.84180147,0.17143323,-1.61914541,0.78503745,-1.57284977
2016-06-01,2.23830357,-0.38454402,0.21142142,-1.04706485,-2.6113962,1.636751,-0.32109812,-1.97542458,-0.72975624,-0.2674511,-1.2621416,4.82269068,0.38388077,2.21385429,0.07426023,-1.32424143,0.60019127,-1.25823509
2016-07-01,1.95054502,-0.36759604,0.26136063,-0.74464116,-2.34464261,1.71749373,-0.29065577,-1.81777217,-0.78984096,-0.13085056,-1.34749607,4.51106431,0.30675883,1.98073043,0.1009096,-1.46990387,0.56704867,-1.09251199
2016-08-01,2.173564,-0.39402673,0.45221828,-0.98515647,-2.51960591,2.09306694,-0.30725297,-2.07139411,-1.04157841,-0.20381929,-1.56916838,5.2092812,0.42057053,2.21393689,0.03011146,-1.8908299,0.62291355,-1.23283069
2016-09-01,3.26487316,-0.65113052,0.96555317,-2.28453509,-3.70544408,3.36861642,-0.49775234,-3.18957675,-2.11264118,-0.28462545,-1.93974184,7.74543702,0.38837491,3.24742173,0.46014686,-3.28617651,1.11000357,-1.59880309
2016-10-01,3.22230112,-0.5152583,0.87002794,-2.53289128,-3.5031419,3.17235959,-0.36460554,-2.98419777,-2.00978969,-0.0679475,-1.65141927,7.25461857,0.38091476,2.98003267,1.05300985,-3.79926778,0.87994859,-1.38469408
2016-11-01,3.85248601,-0.70545412,0.9891525,-2.98187722,-4.20920624,3.60173444,-0.55406098,-3.5865387,-2.70588145,0.29617163,-1.82109612,8.3838585,0.3811774,3.51179357,1.42912865,-4.36954216,1.07332305,-1.58516877
2016-12-01,5.93864495,-0.9411911,1.20203092,-5.05746858,-6.31595381,5.42990123,-0.69606259,-5.38152034,-3.86383743,1.20315158,-2.36365123,11.59033967,0.11326182,5.31175202,2.41253937,-6.72577253,1.85562949,-2.71179345
2017-01-01,6.84412051,-0.88650426,1.55684118,-6.10545527,-7.15668955,7.0015297,-0.58014756,-6.26319508,-4.09910119,1.05481676,-3.35728983,13.44066295,-0.26733954,6.40316405,2.36486003,-7.78723233,2.22830944,-3.39134999
2017-02-01,22.75713144,-2.66859394,3.89734761,-20.42422103,-22.30385277,26.5303149,-1.80276272,-20.9759301,-13.4104246,1.6422817,-11.83255312,42.96110436,-1.53442731,21.34287803,6.4202435,-25.97374318,7.44482785,-11.06962062
